origin_user_id,origin_user_name,retweet_user_id,retweet_user_name,origin_content,retweet_content,origin_user_followers_num
1615743184,全球奇闻趣事,1658721803,stuttgartbo,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,,4018252
1615743184,全球奇闻趣事,1105624024,礼乐诗书,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,转发微博,4018252
1615743184,全球奇闻趣事,1774924647,inrA谜诶陈,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,看一次笑一次哈哈哈尼玛,4018252
1615743184,全球奇闻趣事,1856568402,豹__是我的最_,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,bed__bed__,4018252
1615743184,全球奇闻趣事,1801335805,不刷少女_代_死星人,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,__,4018252
1615743184,全球奇闻趣事,1694206155,jhtzhou,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,我擦这表情这演技分明是从电影里截的吧哈哈,4018252
1615743184,全球奇闻趣事,1732359680,_雀雀,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,琴晚睇_呢_笑到_街偷_,4018252
1615743184,全球奇闻趣事,1732949813,三3叁宅一生,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,啊伊呀伊呦啊伊呀伊呦阿弟可带一个带一个带一个他可带一个带一个刀带一个带一个带一个他可带一个带一个刀啊伊呀伊呦,4018252
1615743184,全球奇闻趣事,1748832480,Vincent筱宇,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,转发微博,4018252
1615743184,全球奇闻趣事,1854027245,希大爷Aiko,这姐妹太逗了说相声的吧哈哈粽粽粽粽粽粽粽,哈哈哈哈哈哈哈哈,4018252
2282688074,狮子座频道,1838165717,微子世界,狮子座的人很敏感看似什么都不计较不细心其实是我在包容你所以我会假装什么都不知道狮子座的人最不能容忍没有睡眠却常常失眠狮子座的人有点害羞很保守只有做足了准备才会放手去做狮子座的人不善表达自己的情感所以常常用沉默取代表达,转发微博,514893
2282688074,狮子座频道,1697074350,骑驴找马的村民,狮子座的人很敏感看似什么都不计较不细心其实是我在包容你所以我会假装什么都不知道狮子座的人最不能容忍没有睡眠却常常失眠狮子座的人有点害羞很保守只有做足了准备才会放手去做狮子座的人不善表达自己的情感所以常常用沉默取代表达,不发言对号入座吧,514893
2282688074,狮子座频道,1812942164,#NAME?,狮子座的人很敏感看似什么都不计较不细心其实是我在包容你所以我会假装什么都不知道狮子座的人最不能容忍没有睡眠却常常失眠狮子座的人有点害羞很保守只有做足了准备才会放手去做狮子座的人不善表达自己的情感所以常常用沉默取代表达,老大乃知道睡觉是我的命嘛害羞,514893
2282688074,狮子座频道,2315141025,毒嗳sing,狮子座的人很敏感看似什么都不计较不细心其实是我在包容你所以我会假装什么都不知道狮子座的人最不能容忍没有睡眠却常常失眠狮子座的人有点害羞很保守只有做足了准备才会放手去做狮子座的人不善表达自己的情感所以常常用沉默取代表达,这样的我们,514893
2282688074,狮子座频道,1738788413,尹莹yy,狮子座的人很敏感看似什么都不计较不细心其实是我在包容你所以我会假装什么都不知道狮子座的人最不能容忍没有睡眠却常常失眠狮子座的人有点害羞很保守只有做足了准备才会放手去做狮子座的人不善表达自己的情感所以常常用沉默取代表达,转发微博,514893
1762675215,爱物网,1784458305,十一夜梦,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,笑哈哈,2347020
1762675215,爱物网,1774258993,koala迪,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2347020
1762675215,爱物网,1789483342,小诗shi-chloe,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,笑shi我了哈哈,2347020
1762675215,爱物网,1813559950,深蓝星儿,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,哈哈太憨了,2347020
1762675215,爱物网,1733092734,_小瑜Anci,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,其_我很喜_哈士奇因_他霸_得_很有笑_哈哈哈哈,2347020
1762675215,爱物网,1747019995,小肉健健,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,哈哈哈好萌的哈士奇好欢乐的猪银笑哈哈,2347020
1762675215,爱物网,1447052512,油条转_拉_,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,哈哈家有贱狗,2347020
1762675215,爱物网,2115513675,#NAME?,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,太可爱了我也想养嘻嘻,2347020
1762675215,爱物网,1928050910,SKISTUA,昨晚十二点才回到家推开门发现angel在家很乖乖到超出了我的想象乖到我想掐死她掐死她两遍坚挺先生,哈哈哈哈哈哈士奇果然一本正经的时候最有笑点,2347020
1762265381,今日美术馆,1786671473,企小企鹅,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,,1365849
1762265381,今日美术馆,1789340450,小炉子V,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,跨界也是一种选择,1365849
1762265381,今日美术馆,1846610933,李萌Muriel,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,哇塞还有谁,1365849
1762265381,今日美术馆,1695924474,阁楼上的疯女人,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,回复去,1365849
1762265381,今日美术馆,1180725742,Say__daring,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,,1365849
1762265381,今日美术馆,1706741170,四月汪洁洁-LA,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,转发微博,1365849
1762265381,今日美术馆,1785295585,Alinea芒果,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,吃惊阿信,1365849
1762265381,今日美术馆,1247489790,嘎嘎要一直摇滚到老,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,立佳这是个好主意,1365849
1762265381,今日美术馆,1882400843,兔斯基攒钱继续上诺亚方舟,今日展览五月天主唱装置作品将于今日美术馆展出阿信是最火天团五月天的主唱可这并不是他的唯一身份在歌手之外横跨视觉与听觉的先锋艺术家是他另一个不为人知的头衔他创作的结合音乐科技与空间的艺术作品将在今日美术馆主办摩根大通独家赞助的未来通行证展览中展出,,1365849
